audio_file,text,gender
2y7qle_40.wav,شاء الله باذن الله الاسبوع ده كله,female
Y1BjaU_41.wav,فيديوهات كل يوم مش يوم ويوم كمان لا ان,female
3xjvfk_42.wav,شاء الله باذن الله بدون مقاطعه كل يوم,female
DLl30I_43.wav,فيديو فروحوا هناك برده اشتركوا في القناه,female
whpyOE_44.wav,بتاعتي انا منير وبس اتمنوا لي كل خير,female
eyBfal_45.wav,ويلا بينا نبدا,female
ukdNDa_46.wav,اول حاجه كانت معانا مش لسه جايبينها,female
gHJSV0_47.wav,النهارده هي كانت موجوده من امبارح,female
eZxstp_48.wav,عندنا بانيه,female
1z6Wyv_49.wav,تمام,female
JanCXL_50.wav,وكمان الفراخ تمام دول مغسولين يا جماعه,female
cj9ifO_51.wav,وجزين ان احنا نعملهم حالا جبت كمان لبن,female
tnuQqp_52.wav,اللي هو الحليب السايب ده جبت منه,female
fgTWgv_53.wav,نصاص,female
AUQnfU_54.wav,و جبت جبنه موتزاريلا,female
g3AP1g_55.wav,وجبت جبنه شيدر او العكس يعني دي موتزريلا,female
lHeBIJ_56.wav,ودي,female
lt5e9V_57.wav,شيدر جماعه طبعا الحاجات دي كميتها كبيره,female
4FSO7p_58.wav,بس عشان خاطر ايه يعني يفضلوا معايا جبت,female
LVkoz8_59.wav,كمان لحمه,female
wiYlfa_60.wav,مفرومه المكله ان انا لسه لحد دلوقتي مش,female
csNGgx_61.wav,عارفه ايه بالظبط اللي انا هعمله جبت كمان,female
W5j9B3_62.wav,مكرونه,female
jNDW7d_63.wav,وقلم,female
DqI1hs_64.wav,اهي يا جماعه كنت عايزه اقول لكم على انتم,female
YC2nnU_65.wav,بتقولوا لي في الكومنتات على ابليكيشن,female
f5ISsn_66.wav,قضيتي يا جماعه ابليكيشن قض تتي اصلا مش,female
cgfoL8_67.wav,صح ومش بيطلع حاجات صح اساسا واوقات بيطلع,female
L9Y3Tb_68.wav,نفس النوع لو مثلا كبير يقول لك دي في,female
Jddawo_69.wav,المقاطعه ولو صغير يقول لك لا مش في,female
KLm6GD_70.wav,المقاطعه فهو اصلا مش صح المهم يا جماعه,female
LNkBuf_71.wav,نرجع لموضوعنا ا جهينه بتاع كريمه الطهر ل,female
fVtpOD_72.wav,كان عندي اللي كنت جايباها في المشتريات,female
OyVCQx_73.wav,اللي فاتت خلصت جبت كمان حاجات كده نوهات,female
FjZnQl_74.wav,كده لولاد اخواتي لما يجوا بكره برده ما,female
0nbdEp_75.wav,كنتش لاقي ف هايبر المره اللي فاتت,female
YQH0y5_76.wav,فاصوليا حمراء فجبت فاصوليا حمرا عشان,female
lgHojc_77.wav,بحتاجها للسلطه وجبت,female
ujNyyv_78.wav,كمان استنوا يا جماعه حليب,female
xGD4Xl_79.wav,مكثف عشان لسه مش عارفه لحد دلوقتي انا,female
HHpOYG_80.wav,هعمل ايه حلو جبت كمان ده شوفان ل وجبت ده,female
0EJ04C_81.wav,عندنا واحد بس هنحتاج واحد تاني طبعا يعني,female
leTqZL_82.wav,انتم عارفين ان احنا ما شاء الله هنبقى,female
ojU4Iq_83.wav,كتير قوي بكره فنحتاج نعمل بانيه كتير فمش,female
gK1VOA_84.wav,عارفه انا جبت احتياطي يعني جبت كمان,female
JfSvui_85.wav,الصوص بتاع البشاميل ده وجبت بهارات دجاج,female
RVOrnN_86.wav,عشان خاطر نحطها على الفراخ اللي هندخلها,female
zWrvri_87.wav,الفرن جبت كمان خلطه كفته وانا لسه ما,female
2nc5P6_88.wav,جبتش اللحمه بتاعه الكفته بس ان شاء الله,female
xKzTqp_89.wav,الصبح هجيبها باذن الله جبت طبعا اللي انا,female
4c8B2E_90.wav,ما بقدرش استغنى عنه الكريم الكراميل بجد,female
B2WYmi_91.wav,عشان سهل جدا ويبقى طعمه خطير فجبته اللي,female
hICEE3_92.wav,انا كنت جايباه برض في المشتريات اللي,female
NONKT9_93.wav,فاتت يا جماعه ما شاء الله خلص لان انا,female
Eth0xN_94.wav,عملته في البيت يعني لي انا ومحمود وكده,female
yUGBwy_95.wav,لي انا ومنير وكده وجبت كمان كريم,female
2L6bEW_96.wav,جانتيه وكريم جانتيه ثاني,female
HAQXla_97.wav,بالشوكليت,female
URRBL3_98.wav,وجبت ا شوكولاته خام وجبت براونز جبت كمان,female
notISu_99.wav,الكيكه بتاعه دريم دي برده فانيليا فقلت,female
PdKdXM_100.wav,يعني ممكن اعمل الكيك ده الفانيليا والكيك,female
Nw09AL_101.wav,والبراونيز,female
Q1vSML_102.wav,وا اسمه ايه ده عشان يعني مش عايزه اجيب,female
cXGJ1U_103.wav,حاجه من بره جبت كمان الملح دي لان علبه,female
fVxhl5_104.wav,الملح بتاعتي خلصت وجبت المناديل دي لان,female
FEeAr3_105.wav,المناديل بجد اللي انا كنت كنت جايباها في,female
29da2T_106.wav,المشتريات اللي فاتت انا مش فاكره قوي انا,female
7hgDyf_107.wav,كنت جايباها نوعها ايه بس بجد يا جماعه,female
J1UKNz_108.wav,كانت سيئه كلمه سيئه دي كانت اسوا من,female
PiEmV6_109.wav,السيء بجد كانت فظيعه وكانت خفيفه قوي,female
kMb0vY_110.wav,وخلصت بسرعه مع اني كنت جايبه الكبيره اه,female
UPm3b9_111.wav,استخدمتها لان انا نضفت الشقه كلها بيه,female
7fKlcL_112.wav,ومسحت كل الحاجات يعني بيها وكده فنظف,female
csXSqJ_113.wav,الشقه تنظيفه حلو قوي لو انتوا متابعيني,female
qUZUPt_114.wav,على الانستغرام اكيد شفتوا ف خلصت يعني,female
MP8bay_115.wav,مني جبت كمان زيتون,female
bI6qyI_116.wav,مخلي وجبت ت مخلل,female
6GzbAn_117.wav,كده وجبت,female
ozseOZ_118.wav,زبادي وجبت قطع المانجا دي انا بجد نفسي,female
aO3FoY_119.wav,تكون حلوه عشان بجد هتبقى بالنسبه لي,female
Vv7I5a_120.wav,اختراع اقسم بالله هتبقى اختراع بالنسبه,female
h20XCK_121.wav,لي المفروض ان هي جوه كده مكعبات مانجا,female
CIp1So_122.wav,فيعني يا رب تكون حلوه فهجرها برض وهقول,female
dvkin9_123.wav,لكم كمان جبت,female
qk6RI0_124.wav,ا اسمها ايه ليمون وفلفل الوان وكابوت شاه,female
hmNLL0_125.wav,وفلفل عادي اخضر وجبت كا بصله كده عشان,female
ujnZ0w_126.wav,خاطر مش بحب اجيب حاجات كتير يعني انا,female
hlRP6a_127.wav,عايزه الحاجات اللي عندي دي تخلص في,female
X4ouPL_128.wav,العزومه دي وخلاص كده جبت كمان خيار وجزر,female
vn37Xu_129.wav,ده للسلطه يا جماعه لزوم السلطه اللي انا,female
RuVHM1_130.wav,هعملها,female
1aymfS_131.wav,يعني جبت كمان طماطم كتير طماطم بقى,female
VMnBsl_132.wav,استنوا,female
vCLLmD_133.wav,كده انا عايزه اوريكم خايفه ادوقها اهي,female
opqcYq_134.wav,طماطم كتير د 3 كيلو تقريبا عشان خاطر,female
eN27HA_135.wav,هنعمل محشي يا جماعه كروم وهنعمل محشي,female
HYujws_136.wav,فلفل وكوسه وباتنجان وكده يعني هو انا,female
4BAZsQ_137.wav,اللي في دماغي ان انا اعمل محشي ومكونه,female
1ij9wH_138.wav,بشاميل هل ده هيتنفذ ولا لا م ارفش فانت,female
SOt3Yi_139.wav,قولي برض في الكومنتات لان الفيديو ده,female
gqrQNm_140.wav,هينزل لكم قبلها يا جماعه فانتوا قولوي في,female
vPe8Gf_141.wav,الكومنتات كده وساعدوني عشان خاطر ايه انا,female
U9X1aE_142.wav,مش عارفه حاسه ان انا يعني نفسي اقدر على,female
zGoDBu_143.wav,العزومه دي لان يا جماعه دي اكبر عزومه,female
e5Jdkk_144.wav,انا هكون عملتها في حياتي اخواتي كلهم ما,female
4Lbyzb_145.wav,شاء الله وجوازاته واولادهم وكمان مامتي,female
gq2rK8_146.wav,وبابايا ومامه منير فانا هعمل حساب ما شاء,female
ZGaSOn_147.wav,الله العيله كلها ف تفتكروا هقدر يعني,female
hYe0mI_148.wav,تفتكروا مش,female
SpibDe_149.wav,عارفه جبت كمان كوسه عشان ال كوسه يا,female
iX41qb_150.wav,جماعه بصوا يعني انا جبتها نقيتها,female
YW7reS_151.wav,وقورته قورتها لي عشان خاطر الموضوع ما,female
TCI7SB_152.wav,يبقاش متعب جبنا كمان خضره كتير,female
wMleAX_153.wav,للمحشي,female
MGkwXQ_154.wav,وجبت باتنجان برض ابيض واسود,female
fkHg8l_155.wav,برده برده,female
2lqC79_156.wav,اقور وجبت,female
6PYfmO_157.wav,فلفل تمام وانا كده يعتبر خلصت المشتريات,female
Yki2LG_158.wav,كلها اللي انا جبتها في طبعا حاجات,female
28TgVF_159.wav,هنحتاجها من الثلاجه موجوده اوريدي ف انا,female
9wV6D4_160.wav,حقيقه مش عارفه انا هقدر اعمل ايه وماقدرش,female
agEJcg_161.wav,اعمل ايه فانتوا ادعوا لي في الكومنتات,female
GwZ0sy_162.wav,كتير ان انا اقدر اعمل كل اللي في بالي,female
h23Rjs_163.wav,وكل اللي في خيالي عشان خاطر بجد يعني,female
NnW233_164.wav,العزومه دي يعتبر انا هثبت لنفسي قبل ما,female
u3YC9U_165.wav,هثبت لاي حد ان انا ست بيت شاطره جدا جدا,female
Qf9gbX_166.wav,جدا طبعا يا جماعه انا اخواتي كلهم ما حدش,female
owGzWl_167.wav,فيهم هيتوقع ولا,female
of3w1W_168.wav,تعمل اكل ايه ولا الاكل هيطلع ازاي لان,female
yq0imm_169.wav,طبعا اخواتي كلهم يعتبر ماكلوش من اكلي,female
Gxg8kl_170.wav,قبل كده ما دقوش من اكلي قبل كده لان انا,female
ws69Ul_171.wav,في البيت في الطبيعي ما كنتش بعمل لهم اكل,female
jNSKyQ_172.wav,ولا كده قبل ما اتجوز وكده ف يعني هيستغرب,female
ut5kwI_173.wav,قوي المره دي فادعوا لي يا جماعه في,female
KAM2x3_174.wav,الكومنتات وقولوا لي لو في وصفات بالحاجات,female
irq8M0_175.wav,اللي انا جبتها دي هتكون حلوه وسهله عليا,female
c7ryfl_176.wav,وهتكون كريتف كده وان انا اعملها يعني,female
qz8KEs_177.wav,فشجع وي ولو ما لحقتو تكتبوا لي في,female
Mex20f_178.wav,الكومنتات وعارفين ان انا مش هقراها لان,female
NUFTUC_179.wav,انا مش هبقى فاضيه قوي بكره للاسف فا,female
IPSMXS_180.wav,ابعتوا لي على الانستغرام وايه يسوني كده,female
lNbMBF_181.wav,بس يا جماعه ما تنسوش تعملوا لايك,female
wnLpax_182.wav,واشتركوا في القناه وفعلوا الجرس عشان,female
lJTegx_183.wav,يوصلكم كل فيديو انا بنزله وبس كده اتمنى,female
ZMhQly_184.wav,يكون الفيديو كان خفيف لطيف على قلبكم,female
N6E8ij_185.wav,والفيديو ده اعتبروه تشجيع للبنات اللي,female
RKsuet_186.wav,ازاي اللي لسه ماتجوزت اللي يعني لسه,female
CZOV4o_187.wav,ماتجوزتش وتنزل تجيب حاجات وكده واللي لسه,female
fTHxMW_188.wav,متجوزه قريب واللي مش متجوزه قريب بس ما,female
xwiT4l_189.wav,بتشيل هم العزومات والكلام ده فاعتبروا ان,female
MZ6hZs_190.wav,الفيديو ده تشجيعا ليكم انا نزلت جبت كل,female
PObWOl_191.wav,الحاجات وان شاء الله باذن الله ربنا,female
cZs15Y_192.wav,يقدرني واعملها وبس كده يعني اتمنى,female
tz6pjz_193.wav,الفيديو يكون عجبكم باي باي,female
9sPj4G_1.wav,في ظل الغلاء المتزايد اسعار الكتب بتزيد,female
HMb1or_2.wav,تزايد فاحش لدرجه ان حاله التحويش لاكثر,female
1EbrKF_3.wav,من 3 كتب باسعار واللي بيزيد الطين باللا,female
UN7Qzx_4.wav,انك لو جبت كتاب وبعد ما قرات منه شويه,female
ZxYd9m_5.wav,حسيت انك مش قادر تكمله عشان ما بقتش,female
sL3jFv_6.wav,متحمس له هندخل في زاويه خساره الفلوس ولا,female
LNACTr_7.wav,لازم اكمله عشان احلل الفلوس دي وندخل في,female
EkcCHG_8.wav,دايره فتور قراءه ولو قررت انك ما تشتريش,female
huO1SB_9.wav,الكتب الاصليه وتشتري نسخ مضروبه في عزيزي,female
duD98U_10.wav,القارئ حتى الكتب المضروبه بقت غاليه فانا,female
qHwYJH_11.wav,هقول لك ازاي بخمسين جنيه بس هيبقى عندك,female
S0hnRH_12.wav,اكتر من الف كتاب تحت تصرفك,female
m5nLL8_13.wav,من سنه ونص مايه صاحبتنا قررت تعرفنا على,female
Cb5XjD_14.wav,المكتبه ودي بالنسبه لي كانت الكنز,female
4nP2I3_15.wav,الحقيقي بعد ما عملنا فيها اشتراك وبقى,female
HCfWZz_16.wav,عندنا القدره ان احنا نستعير ونرجع وناخذ,female
wO9lSn_17.wav,ونشوف ونحط وكل الاختيارات دي بدون قلق,female
iqBotc_18.wav,وبدون خوف من اننا ندفع فلوس ونشتري كتاب,female
zKKKjd_19.wav,وبعد كده الكتاب ده يا اما مثلا ممكن يتحط,female
wuImt1_20.wav,على الرف او ان احنا نقرا منه شويه فما,female
PS8cNF_21.wav,يعجبناش وبالتالي نتحصل على الفلوس اللي,female
fylSou_22.wav,احنا دفعناها لغير ان الكتب دلوقتي بقت,female
l0jqb5_23.wav,بجد اسعارها عاليه جدا حتى لما بيتعمل,female
eNI0dD_24.wav,عليها خصم هي برده بتفضل غاليه فالكتاب,female
NFK42h_25.wav,الواحد بقى بيمثل,female
ZLyv38_26.wav,[موسيقى],female
frx4Ix_27.wav,فضول كلهم كنت باركنهم على جنب,female
dKm4v4_28.wav,وفي المره التانيه اللي انا بروح فيها,female
XMbyhh_29.wav,المكتبه بقوم مرجعاها الميزه برضو كمان في,female
aJVQom_30.wav,المكتبه ان هي بتديني مده استعاره طبعا,female
NeH6Un_31.wav,هتكلم عن التفاصيل دي بعدين بس هي بتديني,female
ziaOVs_32.wav,مده استعاره وموضوع مده الاستعاره ده,female
8pXDV6_33.wav,بيخليني ابقى متحمسه اكتر او يعني ابقى,female
fFQI0J_34.wav,عايزه اخلص الكتاب ده علشان لما اروح,female
Ia8L6S_35.wav,ارجعه ما يتبقاش ما يكونش متبقي فيه صفحات,female
3G2v7s_36.wav,فببقى مثلا مقلقه ان انا تاني يوم مش هعرف,female
5QF5wj_37.wav,الحق اجيبه او كده,female
toJ23Y_38.wav,ببقى عايزه اخلص الكتاب اللي معي ده علشان,female
qm6MSH_39.wav,لما احطه اكون كده ايه خلاص ما خلصاه انا,female
5F9YPI_40.wav,حاطه الكتب اللي انا جبتها من معرض الكتاب,female
mdUITF_41.wav,لحد دلوقتي ما فتحتهاش يعني فعلا ما جتش,female
PEzLS2_42.wav,جنبها وده كله بسبب ان انا بحب اوي اروح,female
4dJ33b_43.wav,استعير من المكتبه في بعض الكتب هيبقى في,female
8aPU5Z_44.wav,منها نسخه واحده في بعض الكتب هيبقى في,female
1wuCHu_45.wav,منها ثلاث نسخ على حسب يعني هي كمان فيها,female
rsgYr5_46.wav,ستودي اريال ودائما بيبقى عندهم كورسات,female
cBHZOK_47.wav,لتنميه المهارات اذا كان له علاقه,female
hItWVJ_48.wav,بالفوتوشوب او التصوير او الخياطه او,female
nOSXCe_49.wav,كورسات لها علاقه,female
5rBN6W_50.wav,والحاجات دي ما حدش بس يفكر ان ده اعلان,female
56Dcos_51.wav,كل اللي انا بقوله لكم ده من تجربتي,female
1KUYqI_52.wav,الشخصيه وده لاني بجد بحب المكتبه دي قوي,female
jBRT73_53.wav,يعني تقريبا اكثر اكثر حاجه بحبها يعني,female
eKCfTE_54.wav,انا بروح اللي هو الفرع اللي في الدقي هو,female
pnE7fB_55.wav,اقرب فرع ليا لكن هم ليهم 16 فرع في مصر,female
O44PR2_56.wav,كلها فانتم تقدروا تشوفوا المكتبه القريبه,female
GVe3DH_57.wav,لكم وتروحوا تعملوا فيها اشتراك الاشتراك,female
qxnVti_58.wav,مش هيكلمكم حاجه هو ب 50 جنيه على مدار,female
uKvda2_59.wav,السنه كلها فالسنه كلها ب50 جنيه يا بلاش,female
shoq3k_60.wav,فعلا وهيبقى عندكم كم هائل من الكتب ولو,female
gdob1C_61.wav,حد هيسال هي فيها كتب باللغات الاجنبيه,female
YpZsy3_62.wav,ولا لا هي اه فيها روايات في قسم كده,female
eS9CdN_63.wav,الروايات بتبقى فيه باللغه الانجليزيه حتى,female
Ip9GSA_64.wav,في كمان كتب لتعليم اللغات الثانيه ده غير,female
b5dTIr_65.wav,ان هم عندهم طابق كامل وليه علاقه,female
xOhSZp_66.wav,بالاطفال قصص مصوره روايات تعليم كل,female
Ec1jyZ_67.wav,الحاجات دي فما عندهم بجد كتب متنوعه قوي,female
yeSQE9_68.wav,وانا هناك كده ببقى شايفه الامهات واخدين,female
zQBOkW_69.wav,اطفالهم وطالعين على الدور اللي فوق مثلا,female
fXM3ST_70.wav,لو حابه تذاكر لابنها او هتعلموا القراءه,female
N6Ntnv_71.wav,او هتخليه مثلا يقضي وقت وهو بيقرا فدي,female
f0YY7s_72.wav,كلها حاجات لذيذه لو انتم عندكم اخوات في,female
MqOYsQ_73.wav,البيت بتقدروا ان انتم تستعيدوا لاخواتكم,female
X60XOR_74.wav,ده غير ان هم مقسمين برضو الاشتراكات يعني,female
gfQUZm_75.wav,مثلا في اشتراك للطلاب في اشتراك لغير,female
K13wZT_76.wav,المصريين تقريبا وكمان في اشتراك عائلي ده,female
lEELC4_77.wav,بيسمح لك ان انت تستعير اكتر من خمس كتب,female
P3JDBF_78.wav,لان في العادي الشخص الواحد مسموح له,female
r4uFXe_79.wav,باستعاره خمس كتب في المره الواحده فلما,female
ntmDU8_80.wav,يبقى اشراك عائلي فده بيدمر لك ان انت,female
s2NB0i_81.wav,تستعير كتب اكتر وكمان في اشتراك لكبار,female
VcBpVd_82.wav,السن مع فوق الخمسين تقريبا او فوق,female
ikqMhy_83.wav,الاربعين حاجه زي كده فدول بيبقى لهم,female
t2YKcI_84.wav,اشتراك خاص وهي كلهم كده كده الاشتراكات,female
f3jsjA_85.wav,كلها بتبقى تحت ال100 جنيه هي بجد مكان,female
bqi36X_86.wav,حلو قوي ان انتوا تروحوا هناك وتعملوا,female
kSkNfs_87.wav,اشتراك وتبداوا بقى تستعيدوا كتب وتقراوا,female
JNXTLT_88.wav,براحتكم كمان كنت حابه اقولها ان انتوا لو,female
axUdJR_89.wav,قررتوا بقى ان انتم تستعير وكده جري ت بس,female
3VhLcn_90.wav,تعرفوا ان الكتب دي مش بتاعتكم فما ينفعش,female
bKNDP9_91.wav,ان انتم تاخذوها وما ترجعوهاش او ان انتم,female
qDAXzU_92.wav,مثلا تاخذوها وتقعدوا تخططوا وتعملوا لانه,female
IlDT6p_93.wav,يعني بجد دي ازمه دي ازمه لكن لو انتم مش,female
AFjHMc_94.wav,من النوع ده,female
JDBakU_95.wav,فكده يعني بجد الموضوع ده هيوفر عليها,female
GjLfBe_96.wav,كتير عشان انا بقعد امسح في الحاجات دي,female
hITojP_97.wav,طول ما انا قاعده اتمنى ان الفيديو ده كان,female
pn8tdW_98.wav,مفيد لكم ولو حبيتوا طبعا هتشوفوا المكان,female
KW1uEA_99.wav,الاقرب لكم وكمان كان في فيديو اتكلمت فيه,female
Y3LTlT_100.wav,عن ازاي بقرا كتير وبصرف قليل هسيب لكم,female
ZfatTR_101.wav,اللينك بتاعه تحت في الديسكريبشن بوكس لو,female
r6ogLD_102.wav,ما شفتهوش ممكن تروحوا تشوفوه وما تنسوش,female
7p57w6_103.wav,تتابعوني على انستجرام هتلاقوا اللينك,female
y256eh_104.wav,بتاعي تحت في الديسكريبشن بوكس اشوفكم,female
Pbul7d_105.wav,الفيديو اللي جاي مع السلام,female
GOvj0D_1.wav,انا مش عارفه انا جايه لكم من الحمام,female
TdfiS7_2.wav,ومبهدله بس يعني حصل حاجه انا مش مصدقاها,female
4UwVkL_3.wav,مش,female
1iGDhr_4.wav,مستوعبا مش عارفه اعمل,female
bY9l3v_5.wav,ايه مش عارفه اعمل,female
DYWxm4_6.wav,ايه انا بجرب عادي كنت بجرب جرب كنت بجرب,female
OUGWuf_7.wav,عادي بس انا مش عارفه فانا هعمل واحد تاني,female
F6KDEv_8.wav,دلوقتي عشان اتاكد وبعد كده هنزل اروح,female
F7310e_9.wav,اعمل تحاليل الدم النهارده كان في الشهر,female
MGIkMg_10.wav,ثواني انا لسه مش مستوعبه فمش مش,female
sE5rPb_11.wav,عارفه يا,female
X6O81q_12.wav,رب هعمل,female
b1Oq5u_13.wav,الاني نعمل الاني,female
GgFoq5_14.wav,عمل التاني ونتاكد,female
Zwfcv6_15.wav,منير نايم جوه وانا مش مش عايزه اعرفه,female
oUn8Fx_16.wav,حاجه غير لما,female
xizbn4_17.wav,اتاكد عشان,female
MaGCtI_18.wav,خاطر لازم اتاكد عشان خاطر انا مش عايزه,female
RL7pyU_19.wav,اكسر قلب تاني الصراحه زي المره اللي فاتت,female
ffKig1_20.wav,لما عملت ف المقلب,female
IM4wCl_21.wav,يا رب انا بترعش مش قادره بترعش مش,female
Jwxm2o_22.wav,قادره تاني الجديد اهو هنعمله وهرجع,female
uf8NiH_23.wav,f,female
dzW60W_24.wav,ja,female
55GTWQ_25.wav,انا كده,female
bvyoiY_26.wav,حامل انا كده حامل انا هنزل دلوقتي حالا,female
4k7udT_27.wav,هروح اعمل تحليل دم عشان بجد انا مش,female
6owMB5_28.wav,مستوعبه مش مصدقه,female
C12OLC_29.wav,لسه وبعد كده هكرر انا هعمل ايه هعرف منير,female
baQIMQ_30.wav,ازاي فتعالوا معايا ننزل نروح نعمل تحلي,female
suTR4q_31.wav,قدامش بجد انا مش مستوعبه مش,female
2UmGBC_32.wav,مستوعبه جماعه نازله ما قلتش له حاجه قلت,female
LiTlIB_33.wav,له بس ان انا نازله رايحه,female
iF8oZY_34.wav,لماما ماما عايزاني و وانا هطلع فعلا عند,female
VgGzLa_35.wav,ماما اوريها,female
dDCZdh_36.wav,و وبعد كده هروح اعمل التحاليل عشان اطمن,female
wxTiV4_37.wav,قبل ما اقول له مير لان انا عايزه الصراحه,female
mmcOKf_38.wav,اعمل له مفاجاه كبيره اعوضه عن المقلب,female
qbJmXl_39.wav,اللي انا عملته فيه قبل,female
Srav7s_40.wav,كده ادعول لي يا جماعه ادعول تولي تولي,female
8eVIHh_41.wav,تولي كتير كتير كتير يلا بنا,female
o7hkvJ_42.wav,ننزل,female
Q5B96d_43.wav,النور يا جماعه انا من كتر ما انا مش,female
Owuoo2_44.wav,مستوعبه نزلت بشبشب,female
0UBYO3_45.wav,البيت كت مش انا بجد حاسه ان انا مش مش مش,female
SvpCS7_46.wav,مش عارفه انا مش عارفه مشاعري متلخبطه,female
JgLPlh_47.wav,سك يا ماما افتح بوك كده ايه ده هطلعلي,female
wMun2S_48.wav,فلوس ما فيهوش,female
pphGmZ_49.wav,فلوس انا قلت كان قلبي حاسن اميره بقت امي,female
Ia16oW_50.wav,يا جدعان انت,female
o8RPVV_51.wav,بتعيطي مبروك يا اميره اميره بقت هتبقى,female
JwZjMs_52.wav,امي يا جماعه قولوا لها مبروك في,female
33rH0T_53.wav,الكومنتات واحده بتعيط عشان ايه حامل,female
hTslu3_54.wav,مش عارفه هو كده بجد ولا لا اه كده,female
hvHwKL_55.wav,بجد مبروك يا اميره ده كبير ده نونه كبيره,female
oqZZSU_56.wav,ده نونه خلت يا ماما مبروك يا امير واروح,female
G131gv_57.wav,اعمل تحليل دم ولا اعمل ايه لا ما ترويش,female
kbZBvk_58.wav,تحم تحليل دم لا لا مش مصدقه مش مصدقه,female
FnKKqi_59.wav,يعني,female
lmmv8f_60.wav,ايه خلاص يا امير لا مبروك يا امير حا خلص,female
6oOIN8_61.wav,يا ماما قولي لي طيب اص البس حلو طيب كده,female
VRYyQh_62.wav,يعني كده يا جماعه يا جماعه بصوا انا بقعد,female
fLwkmO_63.wav,كده في الشقه على طول عشان انا عندي غضروف,female
YDVwUW_64.wav,في رقبتي ف ماما على طول قاعده كده كده,female
8QPMyi_65.wav,قاعده على طول كده وكمان لابسه بندانه جوه,female
IcbP2m_66.wav,هنا طب انا دلوقتي عايزه انزل لابسه,female
0niVnP_67.wav,بندانه جوه على رقبتي يا جماعه عشان انا,female
CUKd3v_68.wav,اصلا عندي رقبه وانا مش بلبسها عشان,female
umX9Ol_69.wav,بتتعبني هنا كده طب دلوقتي انا عايز اعمل,female
5UWQva_70.wav,تحاليل دم ليكم كلكم عايزه اعمل تحاليل دم,female
7xInkC_71.wav,قولوا لاميره بقى كلكم في الكومنتات مبرو,female
ArHRKQ_72.wav,لس ماعرف وير نايم فوق انا اول واحده اعرف,female
SWC2OC_73.wav,اه انا اول واحده اعرف يا جماعه اميره دي,female
